Geographic Area,Year,Population
United States,2000,282165844.0
Northeast,2000,53663333.0
Midwest,2000,64491889.0
South,2000,100559291.0
West,2000,63451331.0
Alabama,2000,4451497.0
Alaska,2000,627748.0
Arizona,2000,5166304.0
Arkansas,2000,2678115.0
California,2000,33994383.0
Colorado,2000,4328277.0
Connecticut,2000,3411506.0
Delaware,2000,786417.0
District of Columbia,2000,571776.0
Florida,2000,16046148.0
Georgia,2000,8230306.0
Hawaii,2000,1212396.0
Idaho,2000,1299555.0
Illinois,2000,12437568.0
Indiana,2000,6091517.0
Iowa,2000,2928191.0
Kansas,2000,2692907.0
Kentucky,2000,4048714.0
Louisiana,2000,4468970.0
Maine,2000,1277040.0
Maryland,2000,5310504.0
Massachusetts,2000,6362498.0
Michigan,2000,9954984.0
Minnesota,2000,4933739.0
Mississippi,2000,2848433.0
Missouri,2000,5605714.0
Montana,2000,903305.0
Nebraska,2000,1713279.0
Nevada,2000,2018196.0
New Hampshire,2000,1240385.0
New Jersey,2000,8430799.0
New Mexico,2000,1820802.0
New York,2000,18996959.0
North Carolina,2000,8080253.0
North Dakota,2000,641298.0
Ohio,2000,11363136.0
Oklahoma,2000,3453891.0
Oregon,2000,3430739.0
Pennsylvania,2000,12283881.0
Rhode Island,2000,1050607.0
South Carolina,2000,4024082.0
South Dakota,2000,755707.0
Tennessee,2000,5703129.0
Texas,2000,20944937.0
Utah,2000,2244207.0
Vermont,2000,609658.0
Virginia,2000,7105425.0
Washington,2000,5911439.0
West Virginia,2000,1806694.0
Wisconsin,2000,5373849.0
Wyoming,2000,493980.0
United States,2001,285049647.0
Northeast,2001,53922845.0
Midwest,2001,64807870.0
South,2001,101856689.0
West,2001,64462243.0
Alabama,2001,4463343.0
Alaska,2001,633538.0
Arizona,2001,5303869.0
Arkansas,2001,2690743.0
California,2001,34481753.0
Colorado,2001,4432779.0
Connecticut,2001,3428043.0
Delaware,2001,794954.0
District of Columbia,2001,578228.0
Florida,2001,16350988.0
Georgia,2001,8418687.0
Hawaii,2001,1218790.0
Idaho,2001,1320791.0
Illinois,2001,12506636.0
Indiana,2001,6124090.0
Iowa,2001,2929240.0
Kansas,2001,2701167.0
Kentucky,2001,4068775.0
Louisiana,2001,4460400.0
Maine,2001,1284295.0
Maryland,2001,5374009.0
Massachusetts,2001,6411336.0
Michigan,2001,10005334.0
Minnesota,2001,4982180.0
Mississippi,2001,2853090.0
Missouri,2001,5642852.0
Montana,2001,905782.0
Nebraska,2001,1717672.0
Nevada,2001,2094338.0
New Hampshire,2001,1256685.0
New Jersey,2001,8488427.0
New Mexico,2001,1828437.0
New York,2001,19087486.0
North Carolina,2001,8202468.0
North Dakota,2001,636225.0
Ohio,2001,11395572.0
Oklahoma,2001,3463996.0
Oregon,2001,3469878.0
Pennsylvania,2001,12296977.0
Rhode Island,2001,1057707.0
South Carolina,2001,4062301.0
South Dakota,2001,758803.0
Tennessee,2001,5754748.0
Texas,2001,21330190.0
Utah,2001,2290966.0
Vermont,2001,611889.0
Virginia,2001,7191579.0
Washington,2001,5988346.0
West Virginia,2001,1798190.0
Wisconsin,2001,5408099.0
Wyoming,2001,492976.0
United States,2002,287745630.0
Northeast,2002,54163808.0
Midwest,2002,65069187.0
South,2002,103151318.0
West,2002,65361317.0
Alabama,2002,4471462.0
Alaska,2002,641974.0
Arizona,2002,5451472.0
Arkansas,2002,2704471.0
California,2002,34867773.0
Colorado,2002,4502883.0
Connecticut,2002,3448145.0
Delaware,2002,804636.0
District of Columbia,2002,579736.0
Florida,2002,16675166.0
Georgia,2002,8582756.0
Hawaii,2002,1226410.0
Idaho,2002,1341704.0
Illinois,2002,12557032.0
Indiana,2002,6148648.0
Iowa,2002,2929379.0
Kansas,2002,2711741.0
Kentucky,2002,4090824.0
Louisiana,2002,4465089.0
Maine,2002,1293181.0
Maryland,2002,5437880.0
Massachusetts,2002,6440762.0
